,status,player_id,team_id,role,name,team,elim_per_10m,death_per_10m,dmg_per_10m,heal_per_10m,ults_per_10m,finalblows_per_10m,duration,elims,deaths,damage,heal,ults,finalblows
0,Updated,5197,7697,flexdps,Ado,WAS,14.344310324622056,5.133013008320638,4021.49267978997,8400.140630493379,4.218914801359428,3.234501347708895,8533,204,73,57192.32839441302,119464,60,46
1,NO_CHANGE,8675,7693,flexdps,Adora,HZS,,,,,,,,,,,,,
2,NO_CHANGE,4142,4405,flexdps,Agilities,VAL,,,,,,,,,,,,,
3,Updated,8751,7695,flexsupport,Aid,TOR,12.157330154946363,5.00595947556615,3964.021690241323,5335.637663885578,3.575685339690107,0.7151370679380215,839,17,7,5543.023663520784,7461,5,1
4,Updated,5863,4402,flexsupport,AimGod,BOS,16.067028092656482,5.125677673730902,7560.276606154595,10663.085263676689,4.632824051256777,4.337111877772302,6087,163,52,76699.00616943836,108177,47,44
5,Updated,3985,4523,maindps,aKm,DAL,23.082542001460922,4.382761139517896,11531.318920950876,0.0,4.382761139517896,6.428049671292915,4107,158,30,78931.87801390875,0,30,44
6,NO_CHANGE,8672,4402,mainsupport,alemao,BOS,,,,,,,,,,,,,
7,Updated,8812,7692,maintank,ameng,CDH,22.081218274111677,5.901015228426396,8663.697383965025,0.0,5.520304568527919,6.091370558375635,3152,116,31,45513.29025709626,0,29,32
8,Updated,4841,4403,mainsupport,Anamo,NYE,11.64874551971326,3.7634408602150535,3959.0071683288847,6086.379928315412,3.4050179211469533,1.6129032258064515,3348,65,21,22091.25999927518,33962,19,9
9,Updated,6981,4407,flexdps,Apply,FLA,14.911937377690801,4.6966731898238745,4760.414599168553,8367.123287671233,4.6966731898238745,3.287671232876712,5110,127,40,40542.864336252176,71260,40,28
10,NO_CHANGE,5715,4404,flexdps,Architect,SFS,,,,,,,,,,,,,
11,NO_CHANGE,4652,7697,mainsupport,ArK,WAS,,,,,,,,,,,,,
12,NO_CHANGE,5878,4402,maintank,Axxiom,BOS,,,,,,,,,,,,,
13,Updated,8896,7692,maindps,Baconjack,CDH,20.965058236272878,6.4891846921797,7110.222913877716,0.0,3.9933444259567388,5.490848585690515,1202,42,13,14244.146570801691,0,8,11
14,NO_CHANGE,4624,4525,flexsupport,Bani,HOU,,,,,,,,,,,,,
15,NO_CHANGE,8676,7693,flexdps,Bazzi,HZS,,,,,,,,,,,,,
16,Updated,4655,4410,flexsupport,Bdosin,LDN,10.16115815350997,5.080579076754985,7096.933268901597,9517.235727943185,4.425020486205955,2.458344714558864,3661,62,31,43303.12116241458,58071,27,15
17,NO_CHANGE,8731,7693,flexsupport,BEBE,HZS,,,,,,,,,,,,,
18,Updated,8708,7694,maintank,BenBest,PAR,13.076027283313925,5.7893861254367,7192.012934469776,0.0,4.691399101646981,4.4917650973215775,6011,131,58,72051.98291516304,0,47,45
19,NO_CHANGE,4643,4406,mainsupport,BigG00se,GLA,,,,,,,,,,,,,
20,NO_CHANGE,4656,4410,maindps,BIRDRING,LDN,,,,,,,,,,,,,
21,Updated,8184,4402,flexdps,blase,BOS,15.083798882681565,5.718041406506737,4649.004412128312,8702.366086099244,4.534998356884653,2.5632599408478476,6086,153,58,47156.40142035484,88271,46,26
