,Unnamed: 0_prev,playerId_prev,teamId_prev,role_prev,name,team_prev,eliminations_avg_per_10m_prev,deaths_avg_per_10m_prev,hero_damage_avg_per_10m_prev,healing_avg_per_10m_prev,ultimates_earned_avg_per_10m_prev,final_blows_avg_per_10m_prev,time_played_total_prev,total_elims_prev,total_deaths_prev,total_hero_damage_prev,total_healing_prev,total_ultimates_prev,total_final_blows_prev,Unnamed: 0_curr,playerId_curr,teamId_curr,role_curr,team_curr,eliminations_avg_per_10m_curr,deaths_avg_per_10m_curr,hero_damage_avg_per_10m_curr,healing_avg_per_10m_curr,ultimates_earned_avg_per_10m_curr,final_blows_avg_per_10m_curr,time_played_total_curr,total_elims_curr,total_deaths_curr,total_hero_damage_curr,total_healing_curr,total_ultimates_curr,total_final_blows_curr
0,0,5197,7697,flexdps,Ado,WAS,10.0069165147901,5.109016448479333,4347.798947736937,8826.520300938206,4.391220749106203,2.5333965860228096,14210.171513855457,237.00000000000009,121.0,102971.61459183693,209043.94557809836,104.0,60.0,0,5197,7697,flexdps,WAS,11.634260765687484,5.118019475155039,4225.372058872415,8666.542801724425,4.326573164564054,2.7964436307548146,22743.172542631626,441.0,194.0,160163.94298624995,328507.79714620113,164.0,106.0
1,1,8675,7693,flexdps,Adora,HZS,14.18563433885192,4.298677072379371,4294.318757279122,8900.980565242058,4.728544779617307,2.794140097046591,2791.5565179586406,65.99999999999999,20.0,19979.722528457638,41412.650521874435,22.0,12.999999999999998,1,8675,7693,flexdps,HZS,14.18563433885192,4.298677072379371,4294.318757279122,8900.980565242058,4.728544779617307,2.794140097046591,2791.5565179586406,65.99999999999999,20.0,19979.722528457638,41412.650521874435,22.0,12.999999999999998
2,2,4142,4405,flexdps,Agilities,VAL,16.51006097382893,5.39891044983603,5908.822155706751,10008.673399039399,5.447115007423852,3.7117509342622697,24893.91169732809,685.0,224.0,245156.16163229945,415258.38633847225,226.00000000000003,153.99999999999997,2,4142,4405,flexdps,VAL,16.51006097382893,5.39891044983603,5908.822155706751,10008.673399039399,5.447115007423852,3.7117509342622697,24893.91169732809,685.0,224.0,245156.16163229945,415258.38633847225,226.00000000000003,153.99999999999997
3,3,8751,7695,flexsupport,Aid,TOR,16.253043547234082,4.9206462115479335,7053.5185582533095,10708.95709470882,4.721832223202561,3.181023813525936,12071.585203707216,327.0,99.0,141911.91710314155,215456.81335270405,95.0,63.99999999999999,3,8751,7695,flexsupport,TOR,15.987017534136985,4.9262321471468615,6852.8044288714,10359.851398035336,4.647388818063077,3.020802731741,12910.475613057612,343.99999999999994,106.0,147454.94076666233,222917.68138206005,100.0,65.0
4,4,5863,4402,flexsupport,AimGod,BOS,14.492127715806026,4.580844967639834,7586.072156951053,10002.721911291623,4.7474211482812825,3.664675974111868,21611.733359098434,522.0000000000001,164.99999999999997,273246.9478315115,360293.5980200767,170.99999999999997,132.0,4,5863,4402,flexsupport,BOS,14.838181481972521,4.700562600858448,7580.381860362194,10147.806465160407,4.722224179664247,3.812437869820677,27698.81204777956,685.0,217.0,349945.95400094986,468470.3066262007,218.0,176.0
5,5,3985,4523,maindps,aKm,DAL,21.946288102541228,4.476408945103173,10386.12685537972,18.997010588526205,4.9121655680778185,6.932491729142082,15146.069278180601,554.0000000000001,113.0,262181.6614725889,479.5500640869139,124.0,175.0,5,3985,4523,maindps,DAL,22.188242237406396,4.456346404422915,10630.210455878514,14.944344082758725,4.799142281686216,6.824754283696631,19253.440422594547,711.9999999999999,143.0,341113.53948649764,479.55006408691406,154.00000000000003,219.0
6,6,8672,4402,mainsupport,alemao,BOS,13.045985441951409,4.711050298482453,4793.268094141436,4990.147961771174,3.261496360487852,1.8119424224932512,1655.6817494630814,36.0,13.0,13226.877506256109,13770.161512374878,9.0,5.0,6,8672,4402,mainsupport,BOS,13.045985441951409,4.711050298482453,4793.268094141436,4990.147961771174,3.261496360487852,1.8119424224932512,1655.6817494630814,36.0,13.0,13226.877506256109,13770.161512374878,9.0,5.0
7,7,8812,7692,maintank,ameng,CDH,15.55874028088922,6.468560519710352,7330.629488254162,0.0,4.758808840491758,4.616329533890208,21055.689219415188,546.0,226.99999999999997,257252.42714560035,0.0,167.0,161.99999999999997,7,8812,7692,maintank,CDH,16.408248426697018,6.394755429135696,7504.312849290923,0.0,4.858031256242621,4.808459508729941,24207.337046027184,662.0,258.0,302765.7174026966,0.0,196.0,194.0
8,8,4841,4403,mainsupport,Anamo,NYE,19.06873482811984,1.8271435810916223,5164.348214370417,6250.91697723055,3.488183200265824,2.0929099201594945,18060.977988541126,574.0,55.0,155455.29904150966,188162.78988993168,105.0,62.99999999999999,8,4841,4403,mainsupport,NYE,17.908250180441847,2.1299327288162453,4975.818776179913,6225.132903864145,3.4751533996475565,2.0178310062469693,21409.126862585545,639.0,76.00000000000001,177546.55904078484,222124.43345880503,123.99999999999996,72.00000000000001
9,9,6981,4407,flexdps,Apply,FLA,13.566367386904638,5.8732444175013985,4827.617156595542,7690.288899802999,4.715139884472953,2.977983084930287,7253.231258869171,164.0,71.00000000000001,58359.70611011981,92965.73972964287,56.99999999999999,36.0,9,6981,4407,flexdps,FLA,14.122561421462985,5.38695641849619,4799.85438443113,7970.046519321972,4.707520473820996,3.1059928899437486,12363.196362853047,290.99999999999994,111.0,98902.57044637199,164225.416899085,97.0,63.99999999999998
