,Unnamed: 0,Unnamed: 0.1,playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,hero_damage_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,final_blows_avg_per_10m,time_played_total,total_elims,total_deaths,total_hero_damage,total_healing,total_ultimates,total_final_blows
0,0,0,5197,7697,flexdps,Ado,WAS,7.552726796,4.286682776,3892.476963,8400.935983,4.184618901,1.735085886,5878.671531,73.99999999511007,41.99999999616542,38137.65584576907,82310.571995026,41.00000000232202,17.00000000311352
1,1,1,8675,7693,flexdps,Adora,HZS,14.88742577,2.835700147,4321.695272,8557.819748,4.608012738999999,2.835700147,1692.703654,41.99999999922127,8.00000000079206,12192.24896398154,24143.087929521593,13.000000001639744,8.00000000079206
2,2,2,4142,4405,flexdps,Agilities,VAL,16.35935451,5.080544878,6301.659466,9740.823188,5.486988468,3.353159619,11809.75691,321.9999999460203,99.99999996587603,124035.11070510068,191727.92325595208,107.9999999584222,65.99999996803037
3,3,3,8751,7695,flexsupport,Aid,TOR,16.25304355,4.920646212,7053.518558,10708.95709,4.721832223,3.181023814,12071.5852,326.9999999552258,98.99999997869212,141911.91705446356,215456.81319179843,94.99999996674983,63.99999998988326
4,4,4,5863,4402,flexsupport,AimGod,BOS,13.36594952,5.213274915,7339.745511,10083.86329,4.714131571999999,3.771305258,10818.53555,241.00000006937574,93.99999999975122,132342.16289784404,181821.05580700826,84.9999999984323,68.00000000595821
5,5,5,3985,4523,maindps,aKm,DAL,21.57937277,3.993335887,9972.377156,36.82700924,4.838080017,6.988337802,7813.016706999999,280.999999964318,52.00000000298943,129857.24888055521,479.5500641016055,63.000000004373064,91.00000000197608
6,6,6,8672,4402,mainsupport,alemao,BOS,13.04598544,4.711050298,4793.268094,4990.147962,3.26149636,1.811942422,1655.681749,35.99999998454623,12.999999995032686,13226.877502166362,13770.16150915491,8.999999996136557,4.999999997240427
7,7,7,8812,7692,maintank,ameng,CDH,15.80067328,6.3641600710000015,7174.873348,0.0,4.553666258,4.663393156000001,10936.24284,288.0000000426322,116.00000001514611,130776.92879995306,0.0,83.00000001633683,85.00000002068336
8,8,8,4841,4403,mainsupport,Anamo,NYE,19.4065,1.922625387,5031.968114,6296.539292,3.484758513,1.862543343,9986.344783,323.00000005214923,32.00000000521801,83751.61420577708,104799.02051603119,57.99999999385398,30.99999999413238
9,9,9,5715,4404,flexdps,Architect,SFS,15.43231058,4.522288815,5232.024387,8323.088899,4.7484032560000005,3.957002713,10614.09431,272.99999986221803,79.99999996578023,92555.33379306324,147236.75087416678,83.9999999684918,69.99999996784645
10,10,10,4652,4403,mainsupport,ArK,NYE,11.06645104,3.90580625,2641.430743,4385.420339,1.952903125,1.301935417,921.7047056,16.999999996433356,5.999999999644817,4057.6985755660066,6736.770937483746,2.9999999998224083,2.0000000003936638
11,11,11,5878,4402,maintank,Axxiom,BOS,13.58901456,6.3230516739999985,7227.732159,0.0,3.771644858,3.383387299,10817.56145,245.00000007957453,114.00000005836725,130310.72795687277,0.0,68.00000003165253,61.00000002680336
12,12,12,8896,7692,maindps,Baconjack,CDH,13.25182571,5.861384451,6375.114973,44.00052054,3.950063434,5.606541647999999,4708.78514,103.99999996852992,46.0000000044931,50031.744417756505,345.31499545169464,31.00000000012762,43.99999999815585
13,13,13,8676,7693,flexdps,Bazzi,HZS,15.74084751,6.082903782000001,5526.40301,7021.033965000001,4.642216044,4.108627993,11244.62961,294.99999999573464,113.99999996976366,103570.59153839854,131581.5440260912,86.99999997396579,76.99999997760445
14,14,14,4655,4410,flexsupport,Bdosin,LDN,15.82248001,3.870943122,7900.293126,7578.818805,4.2580374339999985,4.3064242230000005,12400.07887,327.000000071664,80.00000002347339,163273.7630975314,156629.9182057319,88.00000002168733,89.00000002146412
