,status,player_id,team_id,role,name,team,elim_per_10m,death_per_10m,dmg_per_10m,heal_per_10m,ults_per_10m,finalblows_per_10m,duration,elims,deaths,damage,heal,ults,finalblows
0,Updated,5197,7697,flexdps,Ado,WAS,12.760416666666668,5.729166666666667,4871.2051078346485,8721.614583333334,4.427083333333334,3.125,2304,49,22,18705.42761408505,33491,17,12
1,Updated,8675,7693,flexdps,Adora,HZS,13.102820746132847,6.551410373066424,4251.577924190771,9428.571428571428,4.913557779799818,2.7297543221110097,1099,24,12,7787.473564476097,17270,9,5
2,NO_CHANGE,4142,4405,flexdps,Agilities,VAL,,,,,,,,,,,,,
3,NO_CHANGE,8751,7695,flexsupport,Aid,TOR,,,,,,,,,,,,,
4,Updated,5863,4402,flexsupport,AimGod,BOS,15.19756838905775,3.03951367781155,7709.047820192014,10528.419452887538,4.86322188449848,3.951367781155015,3948,100,20,50725.534656863456,69277,32,26
5,NO_CHANGE,3985,4523,maindps,aKm,DAL,,,,,,,,,,,,,
6,NO_CHANGE,8672,4402,mainsupport,alemao,BOS,,,,,,,,,,,,,
7,Updated,8812,7692,maintank,ameng,CDH,14.522058823529411,8.088235294117647,6680.537090128045,0.0,4.411764705882352,3.676470588235294,3264,79,44,36342.121770296566,0,24,20
8,Updated,4841,4403,mainsupport,Anamo,NYE,23.152941176470588,1.411764705882353,5269.865182871142,5750.964705882353,3.388235294117647,2.2588235294117647,2125,82,5,18664.10585600196,20368,12,8
9,Updated,5715,4404,flexdps,Architect,SFS,11.379310344827585,3.103448275862069,5463.303987775053,11231.379310344828,6.206896551724138,0.0,580,11,3,5281.193854849218,10857,6,0
10,NO_CHANGE,4652,4403,mainsupport,ArK,NYE,,,,,,,,,,,,,
11,NO_CHANGE,5878,4402,maintank,Axxiom,BOS,,,,,,,,,,,,,
12,NO_CHANGE,8896,7692,maindps,Baconjack,CDH,,,,,,,,,,,,,
13,Updated,8676,7693,flexdps,Bazzi,HZS,14.77336317851147,4.700615556799105,6038.768475581008,9752.77000559597,4.700615556799105,3.02182428651371,1787,44,14,17985.465443105437,29047,14,9
14,Updated,4655,4410,flexsupport,Bdosin,LDN,15.248009797917943,3.490508266993264,8583.08128946943,10151.316595223516,5.143906919779547,4.041641151255358,3266,83,19,46720.5724856786,55257,28,22
15,Updated,8731,7693,flexsupport,BEBE,HZS,13.896457765667575,3.8147138964577656,9172.919650348265,11310.899182561308,5.4495912806539515,2.1798365122615806,2202,51,14,33664.615116778135,41511,20,8
16,NO_CHANGE,8708,7694,maintank,BenBest,PAR,,,,,,,,,,,,,
17,Updated,4643,4406,mainsupport,BigG00se,GLA,13.043478260869565,5.327617881200245,4611.256131058127,5622.841396203306,3.674219228413962,2.3882424984690753,3266,71,29,25100.604206726406,30607,20,13
18,NO_CHANGE,4656,4410,maindps,BIRDRING,LDN,,,,,,,,,,,,,
19,Updated,8184,4402,flexdps,blase,BOS,15.349544072948328,6.0790273556231,4806.691933223658,8709.422492401216,4.5592705167173255,2.2796352583586628,3948,101,40,31628.032920611673,57308,30,15
20,NO_CHANGE,4625,4525,mainsupport,Boink,HOU,,,,,,,,,,,,,
21,Updated,4079,4524,flexsupport,Boombox,PHI,18.873859704309535,4.340987731991192,7803.132848347579,9000.188738597044,4.718464926077384,5.095942120163574,3179,100,23,41343.598874828254,47686,25,27
22,Updated,8704,4407,maindps,bqb,FLA,14.788038120276044,4.534998356884653,9176.876848593387,0.0,4.7321721984883345,3.7463029904699314,3043,75,23,46542.060417116125,0,24,19
23,NO_CHANGE,8771,7696,maintank,BUMPER,VAN,,,,,,,,,,,,,
24,Updated,4620,4524,maindps,carpe,PHI,23.58490566037736,3.207547169811321,10484.352560673879,0.0,4.528301886792453,9.056603773584905,3180,125,17,55567.06857157155,0,24,48
25,Updated,8721,7699,mainsupport,Chara,GZC,11.83821111476488,3.7487668530088785,4653.302332964249,5369.81256165735,3.1568562972706347,1.3811246300559026,3041,60,19,23584.487324240472,27216,16,7
26,Updated,5831,4404,offtank,Choihyobin,SFS,19.809736989367654,3.357582540570789,6579.343529016385,0.0,3.6933407946278676,5.036373810856183,1787,59,10,19595.478143920467,0,11,15
27,NO_CHANGE,4663,4523,mainsupport,Closer,DAL,,,,,,,,,,,,,
28,Updated,5306,4402,maindps,ColourHex,BOS,18.38905775075988,4.103343465045593,10301.399266011318,0.0,4.711246200607903,4.25531914893617,3948,121,27,67783.20717035448,0,31,28
29,Updated,8892,4408,mainsupport,CoMa,SHD,15.25735294117647,3.492647058823529,3767.976432191552,5419.117647058823,2.7573529411764706,2.7573529411764706,3264,83,19,20497.791791122043,29480,15,15
30,NO_CHANGE,4138,4525,offtank,coolmatt,HOU,,,,,,,,,,,,,
31,Updated,8784,7697,maindps,Corey,WAS,16.797735136835485,4.718464926077384,10344.338780519323,0.0,4.718464926077384,4.529726329034288,3179,89,25,54807.754972118215,0,25,24
32,NO_CHANGE,3577,4405,mainsupport,Custa,VAL,,,,,,,,,,,,,
33,NO_CHANGE,8701,7698,offtank,Daco,ATL,,,,,,,,,,,,,
34,NO_CHANGE,8711,7698,maindps,dafran,ATL,,,,,,,,,,,,,
35,NO_CHANGE,4489,4525,maindps,Danteh,HOU,,,,,,,,,,,,,
36,Updated,8895,4408,maindps,DDing,SHD,21.507352941176467,2.389705882352941,8526.107372973831,65.625,4.779411764705882,6.617647058823529,3264,117,13,46382.02410897764,357,26,36
37,Updated,8893,4408,maindps,diem,SHD,20.40441176470588,4.044117647058823,9791.207839160956,0.0,3.8602941176470584,8.455882352941176,3264,111,22,53264.1706450356,0,21,46
38,NO_CHANGE,9251,7698,flexsupport,Dogman,ATL,,,,,,,,,,,,,
39,NO_CHANGE,4616,4523,maindps,EFFECT,DAL,,,,,,,,,,,,,
40,Updated,8722,7699,flexdps,Eileen,GZC,15.045135406218657,3.0090270812437314,5665.296146409496,4239.117352056169,4.81444332998997,4.81444332998997,997,25,5,9413.83376328378,7044,8,8
