,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,27,1/6/19,Ilios,SMURF,reinhardt,657.31,9,8,8,8.22,7.3,7.3,"[78.09, 15.66, 42.35, 52.71, 46.11, 66.6, 60.6, 37.87]","[33.298, 33.66, 37.07, 3.56, 6.39, 6.95, 0.0, 0.0]"
1,27,1/6/19,Ilios,SMURF,orisa,129.69,1,2,1,4.63,9.25,4.63,[60.64],[83.316]
2,27,1/6/19,Ilios,CHOIHYOBIN,dva,787.0,8,5,0,6.1,3.81,N/A,N/A,N/A
3,27,1/6/19,Ilios,@UNKNOWN_BLUE#0,unknown,787.0,0,0,7,0.0,0.0,5.34,"[37.1, 54.37, 106.09, 132.92, 101.6, 102.67, 80.52]","[20.51, 0.0, 8.571, 0.0, 3.98, 0.0, 51.66]"
4,27,1/6/19,Ilios,STRIKER,brigitte,787.0,6,9,8,4.57,6.86,6.1,"[109.99, 69.22, 28.04, 54.69, 76.44, 96.99, 61.64, 41.78]","[52.905, 0.0, 0.0, 0.0, 0.0, 0.0, 12.47, 15.97]"
5,27,1/6/19,Ilios,ARCHITECT,lucio,787.0,5,7,4,3.81,5.34,3.05,"[58.12, 91.73, 63.13, 156.84]","[107.878, 36.56, 13.99, 0.0]"
6,27,1/6/19,Ilios,VIOL2T,zenyatta,542.2,2,8,4,2.21,8.85,4.43,"[79.17, 114.04, 88.6, 27.2]","[36.429, 18.098, 33.36, 0.0]"
7,27,1/6/19,Ilios,VIOL2T,moira,244.8,2,5,3,4.9,12.25,7.35,"[51.03, 85.92, 80.99]","[0.0, 2.95, 0.0]"
8,27,1/6/19,Ilios,SUPER,reinhardt,537.0,4,7,4,4.47,7.82,4.47,"[115.63, 81.92, 12.62, 75.85]","[55.533, 3.545, 37.78, 7.06]"
9,27,1/6/19,Ilios,SUPER,winston,250.0,6,3,3,14.4,7.2,7.2,"[42.58, 84.88, 70.41]","[12.815, 25.042, 2.501]"
10,27,1/6/19,Ilios,NEVIX,dva,389.11,0,2,0,0.0,3.08,N/A,N/A,N/A
11,27,1/6/19,Ilios,NEVIX,winston,147.89,0,2,1,0.0,8.11,4.06,[50.48],[74.147]
12,27,1/6/19,Ilios,NEVIX,unknown,250.0,0,0,0,0.0,0.0,N/A,N/A,N/A
13,27,1/6/19,Ilios,SINATRAA,zarya,787.0,8,4,7,6.1,3.05,5.34,"[69.1, 59.55, 39.12, 53.98, 95.33, 65.12, 96.98]","[49.279, 37.553, 2.498, 73.24, 2.04, 10.46, 0.0]"
14,27,1/6/19,Ilios,BABYBAY,brigitte,787.0,6,6,8,4.57,4.57,6.1,"[93.2, 74.27, 68.59, 52.18, 45.42, 78.28, 63.13, 92.91]","[14.245, 22.146, 0.0, 0.0, 0.0, 0.0, 9.47, 0.0]"
15,27,1/6/19,Ilios,MOTH,lucio,787.0,7,4,5,5.34,3.05,3.81,"[92.64, 102.27, 90.69, 95.51, 96.72]","[74.389, 10.7, 39.14, 3.61, 41.95]"
16,27,1/6/19,Ilios,SLEEPY,zenyatta,606.86,9,3,5,8.9,2.97,4.94,"[73.16, 56.36, 57.01, 75.97, 72.81]","[45.225, 43.272, 0.0, 28.49, 58.97]"
17,27,1/6/19,Ilios,SLEEPY,moira,180.14,0,3,2,0.0,9.99,6.66,"[57.91, 91.03]","[25.257, 0.494]"
18,28,1/6/19,Ilios,SMURF,reinhardt,200.0,3,1,3,N/A,N/A,N/A,"[33.4, 17.79, 72.36]","[50.689, 0.0, 1.999]"
19,28,1/6/19,Ilios,CHOIHYDBIN,dva,200.0,5,0,0,N/A,N/A,N/A,N/A,N/A
20,28,1/6/19,Ilios,@UNKNOWN_BLUE#0,zarya,200.0,2,1,2,N/A,N/A,N/A,"[80.57, 65.55]","[7.889, 0.0]"
21,28,1/6/19,Ilios,STRIKER,brigitte,200.0,1,2,2,N/A,N/A,N/A,"[40.66, 81.26]","[32.206, 0.0]"
22,28,1/6/19,Ilios,ARCHITECT,lucio,200.0,2,1,2,N/A,N/A,N/A,"[73.46, 89.98]","[13.701, 0.0]"
23,28,1/6/19,Ilios,VIOL2T,zenyatta,200.0,5,0,2,N/A,N/A,N/A,"[36.02, 50.64]","[46.366, 20.046]"
24,28,1/6/19,Ilios,SUPER,winston,200.0,0,2,2,N/A,N/A,N/A,"[100.98, 68.47]","[0.0, 23.649]"
25,28,1/6/19,Ilios,NEVIX,dva,98.04,0,1,0,N/A,N/A,N/A,N/A,N/A
26,28,1/6/19,Ilios,NEVIX,reinhardt,101.96,0,2,1,N/A,N/A,N/A,[77.39],[7.653]
